"dbms","table_catalog","table_schema","table_name","column_name","ordinal_position","data_type","character_maximum_length","constraint_type","table_schema-2","table_name-2","column_name-2"
"postgresql","ecommerce_business","tenantfagor","orders","user_id",6,"bigint",NULL,"FOREIGN KEY","tenantfagor","users","id"
"postgresql","ecommerce_business","tenantfagor","orders","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","orders","number",2,"character varying",255,"UNIQUE",NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","product_images","id",1,"bigint",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","payments","id",1,"bigint",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","payments","order_id",6,"uuid",NULL,"FOREIGN KEY","tenantfagor","orders","id"
"postgresql","ecommerce_business","tenantfagor","reviews","id",1,"bigint",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","reviews","product_id",4,"bigint",NULL,"FOREIGN KEY","tenantfagor","products","id"
"postgresql","ecommerce_business","tenantfagor","reviews","user_id",5,"bigint",NULL,"FOREIGN KEY","tenantfagor","users","id"
"postgresql","ecommerce_business","tenantfagor","order_items","id",1,"bigint",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","order_items","order_id",4,"uuid",NULL,"FOREIGN KEY","tenantfagor","orders","id"
"postgresql","ecommerce_business","tenantfagor","order_items","product_id",5,"bigint",NULL,"FOREIGN KEY","tenantfagor","products","id"
"postgresql","ecommerce_business","tenantfagor","products","stock",6,"integer",NULL,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","public","jobs","queue",2,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","public","cache_locks","expiration",3,"integer",NULL,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","public","users","name",2,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","public","password_reset_tokens","created_at",3,"timestamp without time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","order_items","created_at",6,"timestamp without time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","public","sessions","user_id",2,"bigint",NULL,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","payments","payment_method",3,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","public","sessions","payload",5,"text",NULL,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","public","plans","name",2,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","categories","description",4,"text",NULL,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","product_images","updated_at",5,"timestamp without time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","payments","updated_at",8,"timestamp without time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","public","users","email_verified_at",4,"timestamp without time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","products","name",2,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","public","sessions","user_agent",4,"text",NULL,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","public","cache","expiration",3,"integer",NULL,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","users","created_at",10,"timestamp without time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","public","job_batches","finished_at",10,"integer",NULL,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","users","remember_token",9,"character varying",100,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","reviews","updated_at",7,"timestamp without time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","public","tenants","created_at",7,"timestamp without time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","payments","status",5,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","public","sessions","last_activity",6,"integer",NULL,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","public","migrations","batch",3,"integer",NULL,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","public","job_batches","options",7,"text",NULL,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","public","migrations","migration",2,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","public","users","password",6,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","orders","notes",5,"text",NULL,NULL,NULL,NULL,NULL
